make,model,trailer_type,serial_number,license_number,trailer_state,trailer_description,empty_weight,registered_weight,regulation_weight
Mazda,626,nunc,DE66 4762 5298 8712 7670 97,399 FZP,OH,Mazda-626 License #: 399 FZP,10526,6359,6403
Isuzu,Ascender,sit,LU57 377J 6EPH WQ3G V23T,335 BPT,KS,Isuzu-Ascender License #: 335 BPT,13637,10946,11725
Audi,Allroad,dui,SK98 3661 5298 2148 3711 4864,563 NTJ,NY,Audi-Allroad License #: 563 NTJ,4909,4810,18546
GMC,3500 Club Coupe,condimentum,DK55 9192 7231 6509 67,278 XRN,NY,GMC-3500 Club Coupe License #: 278 XRN,13307,9241,4548
Lexus,LS,sapien cum,MT87 NBIO 3834 9A2R CNHX ENYD GB1H CKS,422 BWC,WA,Lexus-LS License #: 422 BWC,18322,17917,3720
Toyota,Corolla,dignissim,FR10 3702 4962 11OG YKLJ BVAF 408,739 WEU,IL,Toyota-Corolla License #: 739 WEU,15056,5989,3637
GMC,Savana 3500,proin,ME76 9245 2742 7103 6623 06,351 HIN,OK,GMC-Savana 3500 License #: 351 HIN,5039,4012,8644
Volkswagen,Routan,ultrices,PK15 YFQE NDQN TJ0M NFJI 6SWB,320 FOI,DC,Volkswagen-Routan License #: 320 FOI,19305,6102,12662
Mitsubishi,Montero,vulputate luctus,FR35 1264 7639 70K3 VNEK PG6R Z10,817 KPD,WV,Mitsubishi-Montero License #: 817 KPD,19536,2894,15586
Mazda,323,nulla,VG19 CWFV 5042 5926 8803 8921,962 NLY,TX,Mazda-323 License #: 962 NLY,8401,13124,5382
Austin,Mini Cooper S,scelerisque,LV27 KUMI CTOM SICN JDCR G,592 PIB,CA,Austin-Mini Cooper S License #: 592 PIB,9462,7963,6699
Infiniti,G35,sapien dignissim,BE60 3578 5257 1291,236 DQF,TX,Infiniti-G35 License #: 236 DQF,5626,2115,19610
Kia,Sephia,egestas metus,GR11 6790 893V 8MFC MTHU MTYQ TJK,353 WFJ,TN,Kia-Sephia License #: 353 WFJ,11310,6550,17271
Cadillac,Escalade EXT,congue,GR71 7401 551V TR0G H7M7 0XRA 9DO,506 CNK,CA,Cadillac-Escalade EXT License #: 506 CNK,13446,19662,17332
GMC,Acadia,quam a,GR68 5511 867H FUQV ADIW B4TJ LPJ,152 JRL,CA,GMC-Acadia License #: 152 JRL,13489,13411,19297
Pontiac,LeMans,sapien,SK90 5119 6596 2067 7084 5948,829 QVD,FL,Pontiac-LeMans License #: 829 QVD,17317,14030,9095
Pontiac,Trans Sport,ultrices,FR84 4257 5185 63ME HCPS SNMY G67,604 BQU,IL,Pontiac-Trans Sport License #: 604 BQU,19374,8575,15390
Land Rover,LR3,nulla ac,PK84 AIGG LAX0 ZUEZ CKMM J5MN,833 VMB,TN,Land Rover-LR3 License #: 833 VMB,18168,19515,17959
GMC,Savana 2500,vulputate,GB93 MRUO 3931 7534 3944 61,641 GLZ,TX,GMC-Savana 2500 License #: 641 GLZ,12254,16650,10076
Land Rover,Discovery,hac,GB92 ENDL 8323 9215 9434 65,782 TOL,UT,Land Rover-Discovery License #: 782 TOL,9052,13992,13958
Lexus,GS,justo in,ME96 3808 6564 8905 2351 89,937 WRC,WV,Lexus-GS License #: 937 WRC,6176,19033,8340
Buick,Rendezvous,erat id,LB33 7606 EI0J MD4B BAOM WGLO 8PHT,021 XJE,KY,Buick-Rendezvous License #: 021 XJE,8265,16477,17247
Chrysler,Voyager,lobortis sapien,ES57 6631 4513 0202 1546 7455,805 IEM,FL,Chrysler-Voyager License #: 805 IEM,14526,12321,5304
Acura,RL,quis,SM19 X821 1922 353O 9JGP GDLY 39Q,777 USY,FL,Acura-RL License #: 777 USY,14530,14921,18355
BMW,3 Series,vivamus,RO04 IKOB 41FD D6KA X5CA UTYW,150 KBW,WA,BMW-3 Series License #: 150 KBW,12566,16677,4046
Ford,Expedition,aenean,FR10 8148 7635 91I2 KRQE PDN4 H25,582 GFT,VA,Ford-Expedition License #: 582 GFT,5777,18710,10240
Mitsubishi,Pajero,in quam,VG54 LYOA 8218 1723 9631 6654,771 QCP,ME,Mitsubishi-Pajero License #: 771 QCP,5656,12492,17407
Audi,4000,dui maecenas,CY26 0509 2997 JNVQ KOPL AMMA B6BR,344 NLC,CO,Audi-4000 License #: 344 NLC,17799,5836,15563
Mercury,Sable,eget massa,TN02 3494 3363 6105 4233 6019,952 DHL,MO,Mercury-Sable License #: 952 DHL,5641,19172,4300
