vehicle_year,make,model,vehicle_type,license_number,vehicle_state,serial_number,usdot_number,empty_weight,registered_weight
1999,Toyota,Solara,in,EVK 3907,FL,FO28 2513 5848 1681 33,4055392,14698,19131
1997,Jaguar,XK Series,amet,ZTD 4347,WV,KZ44 705B 4CYF EF2R RY2B,2281499,4175,11695
1991,Plymouth,Laser,ut,IPJ 8804,MI,BE98 0356 6528 0472,1144899,19393,10654
1980,Honda,Civic,urna,QAK 6465,CA,SE43 7995 7607 3205 0585 9573,2695876,10198,5846
1954,Cadillac,Fleetwood,rutrum nulla,DLJ 4460,KS,FR23 7899 0607 56RE LWRQ LY0W X29,1796567,17456,5797
2008,Lincoln,MKZ,donec semper,UDZ 6669,CA,LU60 068B ZEYV 6HUC QHCJ,1209212,7593,15508
1997,Mazda,MX-6,pellentesque at,RLJ 7718,NM,PK17 ZJYH 8IIL 09GH PMFW RMCC,1099621,4199,5085
1990,Audi,V8,aliquam,QIZ 3098,FL,SI23 8367 4692 9561 255,2370154,10272,12787
1984,Subaru,Brat,aenean auctor,PRN 3334,AL,MR96 5350 6464 3737 9230 6546 222,3001141,18293,4001
1998,Lexus,GS,phasellus in,ZTX 3488,AR,MT04 XPPC 2780 4K58 2N0U V0TK ZMRE 7XA,9658949,10105,7366
2007,Land Rover,Range Rover Sport,nibh,PWI 5590,MO,NL30 LIYI 9845 6253 86,2920513,16001,8913
1991,Suzuki,Swift,ante,CTB 2435,AK,AT96 8323 0273 3780 5687,8975501,7512,8751
2012,Mitsubishi,Galant,sed,NCP 1016,CA,BR68 8547 0856 8132 7937 0162 897Q D,5116031,18616,8085
1998,Pontiac,Sunfire,dui,QKG 8693,TX,FR60 4466 7505 96CY LNJ5 XLQC W60,9003434,8855,7783
2001,Buick,Park Avenue,suscipit a,FWD 8223,DC,RO59 MRYL 7MXG HKF1 UPTU 1MXE,9035712,12211,14939
1994,Mitsubishi,Diamante,vestibulum,MUC 8415,LA,TN21 0036 1240 7780 3370 9359,1790936,12018,3570
2012,Bentley,Mulsanne,et ultrices,HRZ 8084,AZ,LV95 XQER R9KG EDB3 NEMP 1,6312598,3041,18261
1992,Isuzu,Space,aliquet ultrices,FZG 1186,CA,VG06 BJAD 2119 7910 7620 3224,2359766,10991,12849
2011,Mercedes-Benz,Sprinter 3500,ipsum primis,SMC 4892,IN,IL86 6577 9620 2785 6602 242,0117463,17875,12916
1994,Ford,F150,vulputate nonummy,RKH 5853,TX,AZ62 WIHO 1NYN VNI9 KWTM LUUP PKFU,0886994,16379,16614
1997,Dodge,Ram 3500,congue etiam,HQB 6683,FL,MC93 0583 3944 84AE WQMJ WA4K S00,3112571,4914,13643
2012,Mercedes-Benz,R-Class,quam,TQB 3683,VA,BG74 JDDU 5919 433O GGVT RV,7224330,3062,8888
1991,Porsche,944,dolor morbi,YCP 2513,CA,FI35 1975 3109 1883 30,3003129,5803,6104
1965,Pontiac,Bonneville,curae,PRE 7733,MI,DO65 3TD4 6855 7725 7784 6129 4079,5956704,7484,7385
